Semiconductor,Theory,Formation_E_per_atom,Decomp_E_pfu,Bandgap,a,b,c,alpha,beta,gamma,Dielectric,SLME
Cs0.5Cu0.5Al0.5Ga0.5S1Se1_stannite,HSE+SOC,-1.155544085,-0.448753898,1.597288238,13.9338428,13.04584704,17.44944656,113.8215554,116.3642185,114.1585531,3.379135455,38.96427472
Cs0.5Cu0.5Al0.5Ga0.5S2_stannite,HSE+SOC,-1.19128111,-0.480111177,0.997197541,12.95063541,12.82525499,16.4259459,110.1918845,110.770579,110.4090979,4.92110405,27.47315114
Cs0.5Cu0.5Al0.5In0.5S1Te1_stannite,HSE+SOC,-0.867360557,-0.239246466,0.678772674,14.3931295,14.01005397,17.27384558,114.0428968,108.5327023,109.6101671,5.73794139,19.13555884
Cs0.5Cu0.5Al0.5In0.5Se1Te1_kesterite,HSE+SOC,-0.786723633,-0.146042981,1.236134868,17.89258457,15.53812194,13.85867143,108.689642,110.3560836,99.41401502,7.147339951,36.8184863
Cs0.5Cu0.5Al0.5In0.5Se1Te1_stannite,HSE+SOC,-0.88156484,-0.562121165,0.829703497,14.72794503,15.11056842,18.04098689,113.2325092,114.8170627,112.2721303,6.699626082,25.67587684
Cs0.5Cu0.5Al0.5In0.5Se2_stannite,HSE+SOC,-1.106410154,-0.474975756,1.380215682,13.85061119,14.43675818,17.73608822,110.1576203,110.7972933,108.7655704,3.857743783,38.54644654
Cs0.5Cu0.5Al1S1Se1_kesterite,HSE+SOC,-1.031836016,0.516678344,0.40718462,14.29072872,15.0898429,14.17605349,115.2451369,115.8311402,117.0418944,10.29846629,7.476807824
Cs0.5Cu0.5Al1S1Se1_stannite,HSE+SOC,-1.313293077,-0.449365205,1.809500766,13.27007386,13.22067646,17.34240424,108.0296875,109.8657855,111.3364014,5.528878803,38.44662227
Cs0.5Cu0.5Al1S2_kesterite,HSE+SOC,-1.153258227,0.295546924,2.47512623,14.71116482,15.58438984,12.62794319,114.5515613,113.5355282,113.3103085,5.340746861,26.01992975
Cs0.5Cu0.5Al1S2_stannite,HSE+SOC,-1.388763715,-0.465056061,0.996308149,12.68215525,13.33019793,16.68657139,113.358363,109.4790017,111.967459,5.071370553,27.08302322
Cs0.5Cu0.5Al1Se1Te1_stannite,HSE+SOC,-0.983346106,-0.363340926,0.971870666,14.26479378,15.03486283,17.79443052,112.4041073,112.2573875,110.4212778,6.596564488,29.02754375
Cs0.5Cu0.5Al1Se2_kesterite,HSE+SOC,-0.982299123,0.351069852,1.888863772,15.64303313,17.05264869,12.61225587,115.8535213,112.5762557,113.171388,6.140666877,38.03263435
Cs0.5Cu0.5Al1Se2_stannite,HSE+SOC,-1.198100017,-0.414867797,1.646584623,14.39472015,13.86239803,17.4828263,112.403468,114.6674837,110.8611583,4.019336967,40.86873879
Cs0.5Cu0.5Al1Te2_kesterite,HSE+SOC,-0.555303853,0.524211019,1.502095692,17.29499722,16.94922394,13.99978492,110.9964314,108.9941258,112.4629335,7.738112694,38.94293153
Cs0.5Cu0.5Al1Te2_stannite,HSE+SOC,-0.737513245,-0.336890709,1.254228884,14.63010473,14.67149183,17.87208648,108.6149162,115.1960197,115.7150356,6.46244327,36.84271915
Cs0.5Cu0.5Ga0.5In0.5S1Se1_stannite,HSE+SOC,-0.993977847,-0.541136894,1.11190825,13.81799858,13.69510586,17.29575924,110.7466468,109.3245801,112.3743261,6.347231167,33.92391963
Cs0.5Cu0.5Ga1S2_stannite,HSE+SOC,-1.01688393,-0.471141355,1.399436599,13.20063395,13.50773165,16.33043029,114.4291395,115.2696844,111.2888503,4.580550779,38.60363943
Cs0.5Cu0.5Ga1Se2_kesterite,HSE+SOC,-0.86228286,0.040958855,0.257522149,18.07680847,18.61728098,11.57647424,114.2616586,113.3325974,113.8313108,2.651144281,3.136457197
Cs0.5Cu0.5Ga1Se2_stannite,HSE+SOC,-0.928767307,-0.350967995,0.784296672,13.67208781,14.15366537,17.89662195,111.7516035,110.0575637,108.315415,7.034172475,23.9418921
Cs0.5Cu0.5Ga1Te2_kesterite,HSE+SOC,-0.437938685,0.559984211,0.675558666,18.82485909,17.77345079,13.37302553,111.702514,108.3099801,116.2381405,10.45004014,18.98518084
Cs0.5Cu0.5Ga1Te2_stannite,HSE+SOC,-0.657237143,-0.29410757,0.565714672,14.95282028,14.93039172,18.68469792,113.915302,111.5385508,110.4801539,9.345617125,12.86734068
Cs0.5Cu0.5In1S1Se1_stannite,HSE+SOC,-0.959037458,-0.513495967,1.51691488,14.78103617,14.73760036,17.87320526,115.6996304,109.3354356,112.7914599,7.148710355,40.47041518
Cs0.5Cu0.5In1S1Te1_kesterite,HSE+SOC,-0.667181222,0.003516122,0.268296653,14.36166665,14.88683726,16.49511964,111.7204722,115.4136679,116.041998,15.6931053,5.886152848
Cs0.5Cu0.5In1S2_kesterite,HSE+SOC,-0.791626474,0.232280056,1.035405518,13.83129292,15.66935483,15.40999024,108.9079466,111.1483097,115.1903687,7.039928218,31.7957218
Cs0.5Cu0.5In1S2_stannite,HSE+SOC,-0.943768566,-0.548848397,1.681581894,13.65658783,14.52211675,17.48782855,108.4653112,115.2237972,112.7797707,5.566091926,39.16747231
Cs0.5Cu0.5In1Se1Te1_stannite,HSE+SOC,-0.805854285,-0.604803254,0.785339806,14.93265115,14.95663195,18.55431828,115.429213,114.0925614,116.7394916,8.022999761,22.91184077
Cs0.5Cu0.5In1Se2_stannite,HSE+SOC,-0.946822423,-0.445739725,1.182413842,14.47276703,14.51746253,17.57707454,116.5123924,115.9799371,111.2167944,4.544798666,36.5398173
Cs0.5Cu0.5In1Te2_kesterite,HSE+SOC,-0.471399558,0.155855396,-0.092198869,17.3597777,16.61369232,16.37565632,109.4158324,109.4288763,112.5678373,9.364712295,0
Cs0.5Cu0.5In1Te2_stannite,HSE+SOC,-0.643761567,-0.650403927,0.822812868,15.7739774,16.18513925,18.77841198,109.2142685,111.375505,113.6969474,8.02853983,24.53585484
Cs0.5Cu1.5Ba1Zr1Se4_kesterite,HSE+SOC,-1.30821325,2.445358573,1.801942418,14.71113386,15.22073357,14.37601881,111.1300045,108.8682571,113.9493438,6.162146999,39.26171777
Cs0.5Cu1.5Ca1Zr1S4_kesterite,HSE+SOC,-1.503732842,2.0125937,-0.338956001,14.61218883,14.36155759,14.29078191,112.0331936,112.261802,111.2454863,5.561481152,0
Cs0.5Cu1.5Ca1Zr1Te4_stannite,HSE+SOC,-0.979507529,1.652138758,1.683302545,17.18900883,17.05565909,15.60951141,109.7776538,116.7568487,110.3959515,6.800505009,39.80668034
Cs0.5Cu1.5Cd1Ge1S4_kesterite,HSE+SOC,-0.60217399,0.073754109,-0.555762509,14.75582696,14.89141482,12.60272046,115.5852385,115.9573727,114.9281437,3.24012412,0
Cs0.5Cu1.5Cd1Ge1S4_stannite,HSE+SOC,-0.647836579,-0.017274637,1.085473794,14.19427203,13.97870779,14.88078807,108.8068924,114.1944892,113.697532,6.561769121,34.72199752
Cs0.5Cu1.5Cd1Ge1Te4_stannite,HSE+SOC,-0.189616356,0.93049723,0.302299441,15.40869133,14.99456254,15.60645766,113.0749634,116.7399417,116.1893105,11.60284387,5.984900237
Cs0.5Cu1.5Cd1Sn1S4_kesterite,HSE+SOC,-0.592307565,0.368439414,1.337826881,14.00485154,14.39268651,13.94606147,112.4329227,110.4368676,109.4313124,5.651095132,38.46174233
Cs0.5Cu1.5Cd1Sn1S4_stannite,HSE+SOC,-0.654893441,0.068223483,1.030531056,14.2154042,14.16149955,14.85488186,112.8936876,108.5466474,111.0555394,3.675692888,31.11228621
Cs0.5Cu1.5Cd1Sn1Se4_kesterite,HSE+SOC,-0.574952109,0.159654379,0.720175658,15.50423847,15.29968778,14.39789335,114.945447,116.2412881,112.5719276,8.228440787,20.72571001
Cs0.5Cu1.5Cd1Sn1Se4_stannite,HSE+SOC,-0.574626062,0.337623756,0.59404784,14.19091099,14.15922193,15.26243558,114.5502267,111.8074339,108.7171958,6.270178846,14.0562719
Cs0.5Cu1.5Cd1Zr1Se4_kesterite,HSE+SOC,-0.962069576,1.834175657,-0.000246119,14.41387569,14.69957796,14.41958404,108.6840835,114.892716,113.4836595,6.309356217,0
Cs0.5Cu1.5Cd1Zr1Te4_kesterite,HSE+SOC,-0.442598866,2.317289489,0.438490983,15.06747346,15.16635227,16.77974926,115.6790016,110.0579447,111.8848616,10.44779613,8.341180754
Cs0.5Cu1.5Cd1Zr1Te4_stannite,HSE+SOC,-0.580102641,1.18694681,0.948076288,17.1003001,17.02007294,14.31768156,109.2927302,115.7807075,113.1551034,8.852200465,29.42794558
Cs0.5Cu1.5Mg1Ge1S4_kesterite,HSE+SOC,-0.858385676,0.454991245,1.006222434,14.72819886,15.00459483,12.82655102,112.9982725,113.6584489,109.320134,6.058523408,26.97927813
Cs0.5Cu1.5Mg1Ge1S4_stannite,HSE+SOC,-0.848071722,0.316390098,1.710775909,13.92711035,13.76337225,14.42909027,112.1719999,113.4370039,116.547052,5.727055515,41.56087804
Cs0.5Cu1.5Mg1Ge1Se4_kesterite,HSE+SOC,-0.755287136,0.481156531,1.696716812,14.98616321,14.5898169,13.75794512,110.3101453,112.8058972,116.578826,7.563515502,41.55308837
Cs0.5Cu1.5Mg1Ge1Se4_stannite,HSE+SOC,-0.726582267,0.367728738,1.153895221,14.67197122,13.91326291,14.63302888,114.8250052,114.7781488,116.5186759,4.621541844,33.80307556
Cs0.5Cu1.5Mg1Ge1Te4_kesterite,HSE+SOC,-0.424769035,0.287338998,0.829139754,16.33747994,16.74516116,14.34177731,112.7006398,113.8142863,108.4672219,10.47489657,27.17573036
Cs0.5Cu1.5Mg1Sn1S4_kesterite,HSE+SOC,-0.882374852,0.611518907,1.891370461,14.37312385,14.30783108,13.66640278,108.4999422,116.457607,115.3080897,5.092269238,40.21622297
Cs0.5Cu1.5Mg1Sn1S4_stannite,HSE+SOC,-0.881213572,0.390484148,1.464621043,14.18368067,13.96213149,14.26724776,115.9948571,109.2337068,109.5950337,2.265329023,36.40500534
Cs0.5Cu1.5Mg1Sn1Se4_kesterite,HSE+SOC,-0.795030316,0.490625377,1.254400176,14.44616536,15.19464191,13.90509811,113.3633311,115.0020791,116.3705141,7.285775009,37.11710368
Cs0.5Cu1.5Mg1Sn1Se4_stannite,HSE+SOC,-0.780714873,0.357592981,0.925399298,14.20660017,14.91013394,15.13605651,114.4391299,116.9678445,112.8424588,4.518605653,30.85048307
Cs0.5Cu1.5Mg1Sn1Te4_kesterite,HSE+SOC,-0.361055156,0.95604423,0.837796611,14.96162738,15.25087971,15.09649521,116.4372199,115.5439012,108.3577156,10.32084834,24.46902427
Cs0.5Cu1.5Mg1Sn1Te4_stannite,HSE+SOC,-0.507577752,-0.003642522,0.50021494,16.33943653,15.72270022,15.60494847,116.8206778,116.3818541,114.8878032,9.403532749,10.43160826
Cs0.5Cu1.5Mg1Zr1S4_kesterite,HSE+SOC,-1.312852009,1.620800409,-0.1330183,14.27705733,14.31017355,12.68855237,108.1756703,110.2940501,114.2104861,3.554687748,0
Cs0.5Cu1.5Mg1Zr1S4_stannite,HSE+SOC,-1.362317931,1.371780295,2.183513262,14.49058782,14.30833892,14.57167905,112.8324358,115.5414009,108.1480255,5.910431134,33.34948681
Cs0.5Cu1.5Mg1Zr1Se4_kesterite,HSE+SOC,-1.121602527,1.730804618,-0.047708028,15.20119499,14.83470649,13.71978122,113.5150687,111.485506,111.0567535,5.683502375,0
Cs0.5Cu1.5Mg1Zr1Se4_stannite,HSE+SOC,-1.163499584,1.494607571,1.991674011,14.60546101,14.93797854,15.12670486,112.0049818,115.9007476,114.0887994,4.949913831,37.01555042
Cs0.5Cu1.5Mg1Zr1Te4_kesterite,HSE+SOC,-0.608185731,2.119239703,1.380404477,14.96621929,15.82615891,14.97971425,110.3439121,111.7380268,109.0743078,8.8706821,38.20033469
Cs0.5Cu1.5Mg1Zr1Te4_stannite,HSE+SOC,-0.667767521,1.850244535,1.627056458,14.90503858,14.85306126,15.03878708,110.8015141,109.391686,112.105678,8.942167986,38.87848517
Cs0.5Cu1.5Zn1Ge1S4_kesterite,HSE+SOC,-0.681042876,0.412575972,2.151765488,14.79238038,14.68469875,12.94281971,115.9322977,115.6426463,113.0467172,4.111838702,34.41238889
Cs0.5Cu1.5Zn1Ge1S4_stannite,HSE+SOC,-0.68427886,0.302100217,1.865239699,13.30008624,13.83946921,14.45503405,116.6300663,116.3208025,111.7878658,4.925472654,40.12345225
Cs0.5Cu1.5Zn1Ge1Se4_stannite,HSE+SOC,-0.585423587,0.418371026,0.419910428,14.3142492,14.51655901,16.13006446,111.672854,108.2136823,115.3935074,11.00803705,6.750453722
Cs0.5Cu1.5Zn1Ge1Te4_stannite,HSE+SOC,-0.285961912,0.315006368,0.105834744,14.95732818,14.87837357,15.83908311,114.7117412,115.8885639,115.2410602,17.7854349,4.873475641
Cs0.5Cu1.5Zn1Sn1S1Se1Te2_kesterite,HSE+SOC,-0.556484363,-0.223984237,1.082072158,15.268808,15.47254877,14.21341306,110.406314,113.9800507,116.872433,8.662566236,31.16885245
Cs0.5Cu1.5Zn1Sn1S4_stannite,HSE+SOC,-0.677537293,0.330720153,1.016165932,13.68736962,13.20107085,14.19739489,108.3464743,109.4645568,113.9496151,7.190975935,30.98332737
Cs0.5Cu1.5Zn1Sn1Se4_kesterite,HSE+SOC,-0.587810931,0.56372968,0.804784504,14.21929151,14.98287778,13.7120262,112.3416643,116.422276,115.2134019,8.563786619,22.21991859
Cs0.5Cu1.5Zn1Sn1Se4_stannite,HSE+SOC,-0.629729451,0.442064644,0.437529766,14.86029952,14.56221329,14.78595121,112.7575473,114.1135503,109.2184987,5.894504095,6.746037345
Cs0.5Cu1.5Zn1Sn1Te4_kesterite,HSE+SOC,-0.357623863,0.109856908,0.35009975,16.24917521,15.62946092,15.83626105,114.7446848,113.3704192,113.9918787,17.57532455,4.832924636
Cs0.5Cu1.5Zn1Zr1S4_kesterite,HSE+SOC,-1.150059327,1.835032108,-0.051870084,14.80850871,13.73829541,13.18952585,116.0886537,109.8792743,114.3844235,4.573379476,0
Cs0.5Cu1.5Zn1Zr1S4_stannite,HSE+SOC,-1.193785408,1.386832531,1.887051515,14.30302346,13.6864355,13.71783951,114.5496801,109.3523682,116.4966426,6.662442733,36.8067419
Cs0.5Cu1.5Zn1Zr1Te4_kesterite,HSE+SOC,-0.479464569,2.219964373,0.837314612,15.13504584,14.75394433,15.09361095,111.87697,109.9839741,108.8739171,10.35299588,25.90250288
Cs0.5Cu1.5Zn1Zr1Te4_stannite,HSE+SOC,-0.528177093,1.950519647,1.068284182,14.88648449,14.93327372,14.84753214,110.4770551,113.6609734,110.7202956,9.890592166,32.11442874
Cs0.5Cu1Ag0.5Ba1Ge1Te4_stannite,HSE+SOC,-0.499641913,2.006918023,0.854645768,16.35477567,15.74534342,14.89029668,115.991572,111.2328296,113.4795582,8.197077151,26.94583201
Cs0.5Cu1Ag0.5Ba1Zr1S4_kesterite,HSE+SOC,-1.472161129,1.863429524,2.091103059,14.42462879,15.39282178,14.79005473,111.4073541,114.7741948,115.2484208,4.448402687,35.61570991
Cs0.5Cu1Ag0.5Ca1Ge1Se4_kesterite,HSE+SOC,-1.019434729,0.011498789,-0.62937465,17.55704142,17.95803597,10.54968086,110.0516489,111.6346255,116.5756361,5.362686411,0
Cs0.5Cu1Ag0.5Ca1Ge1Se4_stannite,HSE+SOC,-1.017897451,0.222022219,-0.245093708,16.01549407,16.31858559,13.73781251,115.8381626,110.4065532,114.3309282,6.822831271,0
Cs0.5Cu1Ag0.5Ca1Ge1Te4_kesterite,HSE+SOC,-0.685723662,0.135056491,1.199504452,18.77677845,19.01405647,11.524787,112.4928503,116.0891909,116.8425592,8.296795207,37.2785721
Cs0.5Cu1Ag0.5Ca1Ge1Te4_stannite,HSE+SOC,-0.671584945,0.543035375,1.213755642,16.54677586,16.50837302,14.67992867,114.9334452,112.4949428,114.3496855,6.703859713,38.14205299
Cs0.5Cu1Ag0.5Ca1Zr1Te4_stannite,HSE+SOC,-0.932639945,1.599110232,1.64392766,16.14728665,15.97540886,16.70525072,115.1253894,115.3310269,109.8556172,6.408263135,40.01372716
Cs0.5Cu1Ag0.5Cd1Ge1Te4_kesterite,HSE+SOC,-0.279512081,0.36023741,0.687109462,16.1109172,17.15645081,14.22022982,116.9182441,108.1118572,110.8607651,10.4219399,18.56355827
Cs0.5Cu1Ag0.5Cd1Ge1Te4_stannite,HSE+SOC,-0.304767727,-0.001054703,0.195407173,15.7469732,15.87565184,16.52072802,116.4630626,109.5467608,114.6560634,18.4792596,5.159475794
Cs0.5Cu1Ag0.5Cd1Sn1S4_kesterite,HSE+SOC,-0.602514523,0.279201315,1.327919398,15.10242065,15.30779621,13.31994059,113.9839736,115.8170077,108.2505755,6.245769963,37.6048681
Cs0.5Cu1Ag0.5Cd1Sn1S4_stannite,HSE+SOC,-0.641788448,-0.292970447,0.960636245,13.79841451,14.28784268,15.42432407,114.3793632,110.6233239,115.960024,6.28833834,30.09717919
Cs0.5Cu1Ag0.5Cd1Sn1Se4_kesterite,HSE+SOC,-0.581613678,0.258485377,0.78996936,15.41405286,16.05096388,14.51191853,112.0065872,111.6709263,113.9902236,6.765004296,24.17039799
Cs0.5Cu1Ag0.5Cd1Sn1Se4_stannite,HSE+SOC,-0.624593523,-0.201425727,0.643764034,14.62730167,14.63181288,15.75057751,110.0671631,108.5545201,108.5105701,6.678051,19.28206805
Cs0.5Cu1Ag0.5Cd1Zr1Se4_stannite,HSE+SOC,-1.049246993,1.089939644,2.04363168,14.79011669,14.65035764,15.84240311,109.2043212,114.9237679,113.9557287,7.348006381,38.1408993
Cs0.5Cu1Ag0.5Mg1Ge1S4_stannite,HSE+SOC,-0.888633416,-0.11714392,2.131103295,13.43076574,13.72512917,14.68238625,114.6683177,116.3975524,115.7076281,5.506779407,36.06616447
Cs0.5Cu1Ag0.5Mg1Ge1Se4_stannite,HSE+SOC,-0.819047908,-0.028473612,1.275166315,14.78167617,13.82418212,15.84394176,111.2442872,116.1914099,111.1489057,5.096520581,38.38144429
Cs0.5Cu1Ag0.5Mg1Ge1Te4_kesterite,HSE+SOC,-0.420882961,0.416424678,0.886827974,16.61501931,16.6469356,14.58580525,110.3460931,110.9116969,113.2844083,9.72917935,28.21194698
Cs0.5Cu1Ag0.5Mg1Sn1S4_stannite,HSE+SOC,-0.927940995,-0.065406841,1.728397887,14.31339758,14.11064407,15.0259789,115.4807341,113.3879205,115.9846285,6.375306815,41.5918377
Cs0.5Cu1Ag0.5Mg1Sn1Se4_kesterite,HSE+SOC,-0.748551953,0.527389365,1.303833824,15.42511206,14.61665804,14.03024526,113.8287686,110.5798062,116.1331237,6.955691035,39.58820352
Cs0.5Cu1Ag0.5Mg1Sn1Se4_stannite,HSE+SOC,-0.829437443,0.074812694,0.962647324,14.52171123,14.73563914,15.59888429,113.3788681,110.404785,115.2635127,7.487020656,29.00866364
Cs0.5Cu1Ag0.5Mg1Sn1Te4_kesterite,HSE+SOC,-0.472246248,0.131765559,0.890404867,17.02035246,16.17499878,14.85448726,110.5237575,114.7100144,108.5486434,10.17718682,27.65124505
Cs0.5Cu1Ag0.5Mg1Sn1Te4_stannite,HSE+SOC,-0.538589603,-0.173818744,0.539965397,15.16156607,15.70436749,17.64235022,109.3851662,115.0321819,112.4330381,10.85754109,11.4003429
Cs0.5Cu1Ag0.5Mg1Zr1Se4_kesterite,HSE+SOC,-1.207082063,1.59532127,-0.301999088,15.54666631,16.11116663,13.62785886,111.6349389,115.1009558,116.6061453,4.128662927,0
Cs0.5Cu1Ag0.5Mg1Zr1Se4_stannite,HSE+SOC,-1.247911244,1.300955019,1.962201426,14.94858375,15.14945083,15.02694623,110.3953457,111.8089514,114.7098464,6.025787248,35.80940632
Cs0.5Cu1Ag0.5Sr1Zr1S4_kesterite,HSE+SOC,-1.501428616,1.876199222,2.542403748,14.94960885,15.020791,14.20070944,113.5007621,112.564306,116.7945926,5.787706871,27.87596642
Cs0.5Cu1Ag0.5Zn1Ge1Se4_kesterite,HSE+SOC,-0.566362403,0.433595962,0.55037587,15.06332953,15.54568346,12.22329228,109.2954278,108.4656278,112.0621553,7.891978351,12.20847648
Cs0.5Cu1Ag0.5Zn1Ge1Se4_stannite,HSE+SOC,-0.62369009,0.061885365,0.43937247,14.13539669,14.48390899,16.46365345,110.4228323,115.3870253,114.7367743,10.24573255,7.893037435
Cs0.5Cu1Ag0.5Zn1Ge1Te4_stannite,HSE+SOC,-0.296486521,0.337388572,0.102669502,14.83639963,15.18205108,16.72877154,115.7994576,116.2776069,113.3342333,23.13792813,5.216026174
Cs0.5Cu1Ag0.5Zn1Sn1S4_stannite,HSE+SOC,-0.737297331,-0.01149982,1.388522642,13.15703299,14.02329336,14.61215462,111.3236716,109.2759183,111.7809351,5.331808938,40.1069559
Cs0.5Cu1Ag0.5Zn1Sn1Se4_stannite,HSE+SOC,-0.628313506,0.162252459,0.787651505,14.07847691,14.83885779,15.68144455,110.6923502,116.2812272,115.0087608,7.098752264,21.73708003
Cs0.5Cu1Ag0.5Zn1Sn1Te4_stannite,HSE+SOC,-0.383212805,-0.168492761,0.069576015,15.45568907,15.0388273,17.23223124,111.2917255,115.9721373,113.058187,27.36711605,5.084165455
Cs0.5Cu1Ag0.5Zn1Zr1S4_stannite,HSE+SOC,-1.163410584,0.948988102,2.483847083,14.23669132,14.14625863,14.63368371,115.1121385,111.2011385,110.9640496,6.054206676,29.9393488
Cs0.5Cu1Ag0.5Zn1Zr1Se4_stannite,HSE+SOC,-1.044060772,1.203113291,1.697795841,15.06867416,14.11751924,14.91724234,115.4360424,114.0442004,110.564968,6.886948233,40.49554747
Cs0.5Cu1Ag0.5Zn1Zr1Te4_stannite,HSE+SOC,-0.612375848,1.118098088,1.214653852,15.48796738,15.91157283,16.16167538,116.3336623,110.1173965,108.3345727,7.764694284,38.4877885
Cs1.5Ag0.5Ba1Zr1S4_stannite,HSE+SOC,-1.808486386,0.68112234,3.759288287,15.99449186,16.27546395,16.91381522,110.1084236,116.057551,114.6222031,3.275542936,4.261692811
Cs1.5Ag0.5Ca1Ge1S4_stannite,HSE+SOC,-1.287580882,0.569242369,2.624351037,14.32647297,15.00723767,16.9958605,115.514808,115.3943906,108.0131271,2.846633946,25.50002368
Cs1.5Ag0.5Ca1Ge1Se4_stannite,HSE+SOC,-1.08340357,1.939823315,2.126075468,15.28898353,15.13521499,16.66232334,111.1108423,115.7141924,115.6012203,3.212705587,35.04554759
Cs1.5Ag0.5Ca1Sn1S4_stannite,HSE+SOC,-1.295087353,0.56042767,2.548059982,15.72900529,15.26387364,17.06381876,108.2823949,115.8082033,112.0654006,2.921757485,27.45696613
Cs1.5Ag0.5Ca1Sn1Te4_kesterite,HSE+SOC,-0.998038073,0.525536329,1.83469971,19.86115799,19.20055542,12.42119125,110.5082904,116.6544006,111.494855,5.561644565,38.84619967
Cs1.5Ag0.5Ca1Zr1S4_kesterite,HSE+SOC,-1.924475775,0.616263402,3.413315167,17.81447795,17.18333824,13.57293442,115.554987,109.6823665,110.3625997,3.514513448,8.257600374
Cs1.5Ag0.5Ca1Zr1S4_stannite,HSE+SOC,-1.780316321,1.166070273,3.300472116,15.27124164,14.90429904,17.39983256,116.3865436,116.4447915,109.9999323,3.540418522,13.69277433
Cs1.5Ag0.5Ca1Zr1Se4_kesterite,HSE+SOC,-1.813127501,1.017833836,3.177419822,17.4826311,17.67026789,13.37156498,108.6005003,114.8390825,112.8599332,3.180424191,14.04493129
Cs1.5Ag0.5Ca1Zr1Te4_stannite,HSE+SOC,-1.233680919,1.581137358,2.86922469,17.93358685,17.79216752,18.63791719,109.2607632,114.2329693,114.2103781,4.452084802,21.86948456
Cs1.5Ag0.5Cd1Ge1S4_kesterite,HSE+SOC,-0.957329894,-1.102627988,3.210659089,17.06928533,16.92618325,11.5319511,111.491801,114.0678349,112.3391971,2.784206497,12.43837472
Cs1.5Ag0.5Cd1Ge1S4_stannite,HSE+SOC,-0.72235708,0.817973037,1.751137011,14.64188853,14.08849879,15.82026815,113.6371812,110.9990831,116.3786621,4.687479065,38.35474605
Cs1.5Ag0.5Cd1Sn1S4_stannite,HSE+SOC,-0.815798089,0.152684823,1.809468469,14.47625584,15.12837903,18.04184347,114.4768911,115.7114344,112.0576385,4.739449031,39.72007192
Cs1.5Ag0.5Cd1Sn1Se4_stannite,HSE+SOC,-0.817125147,0.476682568,1.160149297,15.01507485,15.26348274,18.6228582,111.3272485,115.752792,115.9141127,4.6234946,36.73283307
Cs1.5Ag0.5Cd1Sn1Te4_kesterite,HSE+SOC,-0.651476751,-0.135310288,1.867470203,19.10938462,18.47341624,13.39923326,108.7431945,110.5612241,116.159231,5.048406408,39.64174425
Cs1.5Ag0.5Cd1Zr1S4_stannite,HSE+SOC,-1.336558562,0.948628602,2.624124128,14.25456278,14.78033072,16.66748424,110.0785292,112.983982,111.6543653,4.102166847,25.28437468
Cs1.5Ag0.5Cd1Zr1Se4_stannite,HSE+SOC,-1.274765229,1.375182842,2.267855277,15.88220873,15.65842328,17.72219267,115.1140073,109.8252404,110.9775716,4.796134311,32.84973332
Cs1.5Ag0.5Cd1Zr1Te4_kesterite,HSE+SOC,-0.765560136,2.221902521,1.434091668,16.19715594,16.8775124,16.92880242,108.4427418,114.9209661,114.1176788,6.376774976,38.83628851
Cs1.5Ag0.5Mg1Ge1S4_kesterite,HSE+SOC,-1.158190233,-0.360700883,3.651446462,16.01647215,16.01951465,12.91365713,115.4925954,116.5777032,112.3058567,4.377225133,6.319012972
Cs1.5Ag0.5Mg1Ge1S4_stannite,HSE+SOC,-1.00666165,0.976204127,2.379296103,14.12690554,14.32268314,16.2874899,108.2655875,115.9432205,113.8371999,3.60128727,28.68858397
Cs1.5Ag0.5Mg1Ge1Se4_kesterite,HSE+SOC,-1.113572327,-0.660778764,2.985868916,17.38664622,18.29599078,11.1838009,108.1808012,112.8509817,109.2932785,2.426636987,16.11540954
Cs1.5Ag0.5Mg1Sn1S2Se2_stannite,HSE+SOC,-1.065212911,0.350818781,2.09219287,14.40109907,14.67018481,18.62719285,112.0121943,110.4741853,111.9190422,5.464784054,34.7612506
Cs1.5Ag0.5Mg1Sn1S4_kesterite,HSE+SOC,-1.040935825,0.53101606,2.908152218,15.39620214,15.3197257,14.16804211,113.6595619,113.5784615,113.2836045,4.323703214,19.41907601
Cs1.5Ag0.5Mg1Sn1S4_stannite,HSE+SOC,-0.945092731,1.343760684,2.306096147,14.71531711,14.11432885,16.07292679,111.8891486,111.1563831,112.9260151,3.680159218,33.54397728
Cs1.5Ag0.5Mg1Sn1Se4_kesterite,HSE+SOC,-0.926053207,1.451241909,2.249798543,15.61152519,15.88957343,14.00167848,109.9507939,110.0653831,112.2065302,5.34870628,31.85331566
Cs1.5Ag0.5Mg1Sn1Se4_stannite,HSE+SOC,-0.814685375,2.069579977,1.311796462,15.4426262,14.6054546,16.54057433,110.5468955,108.0540961,114.7700851,4.617732286,38.24126595
Cs1.5Ag0.5Mg1Sn1Te4_stannite,HSE+SOC,-0.653887636,0.820228623,0.932965269,15.9202418,15.80033309,19.6574977,109.785906,114.4435541,111.837051,5.820797746,29.32697811
Cs1.5Ag0.5Mg1Zr1S4_kesterite,HSE+SOC,-1.567193838,1.296947843,3.014323738,15.32623829,16.21156297,14.18059395,113.6641809,110.4142041,110.4505704,3.174310571,15.99211591
Cs1.5Ag0.5Mg1Zr1S4_stannite,HSE+SOC,-1.54931686,1.914996925,2.744676092,15.07838419,14.78383528,15.79119103,114.2479641,116.1965183,108.3177584,3.225651602,23.59608729
